lastname,firstname,daillingCode,phoneNumber,requistration date,address,type,mail,birthday date,store
SUMMERS,Léandre,44,1097263359,2018-08-05,2 THE NURSERIES [ CARLISLE ],3,SUMMERS-Léandre@SPORTFOREVER.uk,1961-11-29,SPORT FOREVER UK 3
HARDY,Lina,44,197050928,2018-12-19,ALBION HOUSE [ HORSHAM ],3,HARDY-Lina@SPORTFOREVER.uk,1975-10-24,SPORT FOREVER UK 3
GARCIA,Inaya,44,7014025459,2015-06-12,NEWLAND FAWR FARM NEWLAND FAWR FARM [ BRIDGEND ],2,GARCIA-Inaya@SPORTFOREVER.uk,1985-12-13,SPORT FOREVER UK 1
PENA,Camille,44,8009319530,2018-12-24,SOUTHLANDS MEIDREM ROAD [ CARMARTHEN ],3,PENA-Camille@SPORTFOREVER.uk,1970-03-05,SPORT FOREVER UK 3
ROBERSON,Augustin,44,7940112919,2011-06-03,UNITS 5-6 VERNON MILL [ STOCKPORT ],3,ROBERSON-Augustin@SPORTFOREVER.uk,1957-08-24,SPORT FOREVER UK 3
FRAZIER,Gabin,44,4789652632,2012-04-02,"2ND FLOOR, REGIS HOUSE, 45 [ LONDON ]",3,FRAZIER-Gabin@SPORTFOREVER.uk,1962-05-01,SPORT FOREVER UK 3
STEVENSON,Noa,44,9865638601,2012-03-06,43 CORONET STREET [ LONDON ],3,STEVENSON-Noa@SPORTFOREVER.uk,1966-09-09,SPORT FOREVER UK 2
OSBORNE,Clémence,44,5127840627,2020-08-29,WOODLANDS 54 CODNOR DENBY LANE [ RIPLEY ],3,OSBORNE-Clémence@SPORTFOREVER.uk,1979-10-09,SPORT FOREVER UK 1
SANCHEZ,Alix,44,5586145595,2016-09-15,302 SELBOURNE ROAD [ BEDFORDSHIRE ],3,SANCHEZ-Alix@SPORTFOREVER.uk,1962-09-10,SPORT FOREVER UK 1
KING,Lucien,44,1520804752,2017-12-17,UNIT 1 [ WHEATLEY ],3,KING-Lucien@SPORTFOREVER.uk,1990-07-24,SPORT FOREVER UK 1
GUERRA,David,44,701895412,2011-03-30,#4 3 CORFTON ROAD [ LONDON ],3,GUERRA-David@SPORTFOREVER.uk,1983-06-30,SPORT FOREVER UK 3
HENDERSON,Océane,44,9345682374,2011-01-10,7 LINDUM TERRACE [ LINCOLN ],3,HENDERSON-Océane@SPORTFOREVER.uk,1963-01-28,SPORT FOREVER UK 3
EVANS,Célestine,44,8819236703,2019-01-26,5 GORSE DOWN [ WINCHESTER ],2,EVANS-Célestine@SPORTFOREVER.uk,1998-04-07,SPORT FOREVER UK 3
FUENTES,Yanis,44,8140189847,2010-02-04,SUNNYSIDE [ BOLTON ],3,FUENTES-Yanis@SPORTFOREVER.uk,1980-05-26,SPORT FOREVER UK 1
SNYDER,Anna,44,6226391480,2014-06-11,"KENBY FARM, OWSTWICK [ WITHERNSEA ]",3,SNYDER-Anna@SPORTFOREVER.uk,1975-03-03,SPORT FOREVER UK 2
FOWLER,David,44,1087511097,2018-03-07,32 MAIN STREET [ NOTTINGHAM ],3,FOWLER-David@SPORTFOREVER.uk,1982-01-05,SPORT FOREVER UK 1
MOLINA,Maria,44,621589775,2013-12-02,PEGASUS HOUSE 5 WINCKLEY COURT [ PRESTON ],3,MOLINA-Maria@SPORTFOREVER.uk,1996-09-15,SPORT FOREVER UK 1
BYRD,Léna,44,765567822,2017-04-03,UNITS 5/6 VERNON MILL MERSEY STREET [ STOCKPORT ],3,BYRD-Léna@SPORTFOREVER.uk,1997-04-10,SPORT FOREVER UK 2
TRUJILLO,Romane,44,8670082399,2020-08-27,MILFORD HOUSE [ BAKEWELL ],3,TRUJILLO-Romane@SPORTFOREVER.uk,1990-01-31,SPORT FOREVER UK 1
NEAL,Adrien,44,6035184415,2019-07-09,565 WASHWOOD HEATH ROAD [ BIRMINGHAM ],3,NEAL-Adrien@SPORTFOREVER.uk,1995-03-25,SPORT FOREVER UK 3
GLOVER,Milan,44,2221126294,2019-09-04,105 MANOR COURT ROAD [ NUNEATON ],3,GLOVER-Milan@SPORTFOREVER.uk,1971-11-13,SPORT FOREVER UK 1
GALLAGHER,Noah,44,676988174,2019-10-19,MILFORD HOUSE [ BAKEWELL ],3,GALLAGHER-Noah@SPORTFOREVER.uk,1982-08-29,SPORT FOREVER UK 3
MOODY,Léopold,44,7607665474,2012-03-03,ELLERBURN HOUSE [ HUBY ],3,MOODY-Léopold@SPORTFOREVER.uk,1986-12-07,SPORT FOREVER UK 3
FLORES,Valentin,44,6134374980,2014-02-11,32 MAIN STREET [ NOTTINGHAM ],3,FLORES-Valentin@SPORTFOREVER.uk,1962-12-09,SPORT FOREVER UK 3
DELEON,Aaron,32,40482951,2018-09-14,Chaussée de Haecht [ Evere ],3,DELEON-Aaron@SPORTFOREVER.be,1966-09-22,SPORT FOREVER BE 1
GREER,Salomé,32,28674401,2018-07-09,Avenue Van Volxem [ Forest ],3,GREER-Salomé@SPORTFOREVER.be,1973-12-02,SPORT FOREVER BE 1
CLARKE,Alice,32,58446910,2012-12-06,Rue Théophile De Baisieux [ Bruxelles ],3,CLARKE-Alice@SPORTFOREVER.be,1968-12-07,SPORT FOREVER BE 3
GREEN,Lya,32,89720691,2012-07-07,Rue Hector Denis [ Ixelles ],2,GREEN-Lya@SPORTFOREVER.be,1987-08-22,SPORT FOREVER BE 1
MURPHY,Sarah,32,61288820,2010-02-08,Rue Braemt [ Saint-Josse-ten-Noode ],3,MURPHY-Sarah@SPORTFOREVER.be,1970-04-16,SPORT FOREVER BE 4
MORROW,Elena,32,85520705,2018-09-29,Boulevard de Smet de Naeyer [ Bruxelles ],3,MORROW-Elena@SPORTFOREVER.be,1975-10-21,SPORT FOREVER BE 4
AYALA,Antoine,32,86672165,2014-05-22,Avenue Fonsny [ Saint-Gilles ],3,AYALA-Antoine@SPORTFOREVER.be,1985-10-03,SPORT FOREVER BE 1
PAUL,Yanis,32,27831578,2017-03-04,Rue Charles Degroux [ Etterbeek ],3,PAUL-Yanis@SPORTFOREVER.be,1996-07-14,SPORT FOREVER BE 4
CHAN,Assia,32,14326701,2012-06-12,Avenue des Jardins [ Schaerbeek ],3,CHAN-Assia@SPORTFOREVER.be,1974-08-22,SPORT FOREVER BE 3
WILLIAMS,Lola,32,21918185,2018-12-05,Rue Josaphat [ Schaerbeek ],3,WILLIAMS-Lola@SPORTFOREVER.be,1979-06-20,SPORT FOREVER BE 1
SILVA,Léonie,32,11142639,2013-06-30,Rue Mommaerts [ Molenbeek-Saint-Jean ],3,SILVA-Léonie@SPORTFOREVER.be,1975-09-25,SPORT FOREVER BE 3
LARSEN,Soan,32,26133235,2020-01-04,Avenue Impératrice Charlotte [ Bruxelles ],3,LARSEN-Soan@SPORTFOREVER.be,1983-05-11,SPORT FOREVER BE 2
KRAMER,Léo,32,89482236,2016-05-13,Rue Rogier [ Schaerbeek ],3,KRAMER-Léo@SPORTFOREVER.be,1979-01-03,SPORT FOREVER BE 1
DANIELS,Amir,32,11896273,2020-07-31,Rue Charles Degroux [ Etterbeek ],3,DANIELS-Amir@SPORTFOREVER.be,1994-09-30,SPORT FOREVER BE 4
FERNANDEZ,Valentin,32,58432366,2020-02-24,Avenue de la Sapinière [ Uccle ],3,FERNANDEZ-Valentin@SPORTFOREVER.be,1963-10-23,SPORT FOREVER BE 1
HUBBARD,Basile,32,38601251,2013-08-26,Chaussée de Wavre [ Etterbeek ],3,HUBBARD-Basile@SPORTFOREVER.be,1971-01-17,SPORT FOREVER BE 3
SUTTON,Lucie,32,63019594,2010-02-04,Rue de l'Aurore [ Bruxelles ],3,SUTTON-Lucie@SPORTFOREVER.be,1989-05-02,SPORT FOREVER BE 4
STRICKLAND,Simon,32,65289858,2018-03-07,Chaussée de Haecht [ Evere ],3,STRICKLAND-Simon@SPORTFOREVER.be,1989-12-11,SPORT FOREVER BE 3
BRUCE,Ilyes,32,29505543,2012-09-01,Avenue des Scarabées [ Bruxelles ],3,BRUCE-Ilyes@SPORTFOREVER.be,1981-12-16,SPORT FOREVER BE 5
CHRISTENSEN,Alexandre,32,23330797,2015-07-14,Rue Linné [ Saint-Josse-ten-Noode ],3,CHRISTENSEN-Alexandre@SPORTFOREVER.be,1995-10-07,SPORT FOREVER BE 4
GIBSON,Emy,32,4050635,2020-03-01,Rue de l'Aurore [ Bruxelles ],3,GIBSON-Emy@SPORTFOREVER.be,1976-05-09,SPORT FOREVER BE 1
GOODWIN,Tom,32,35106940,2018-07-29,Avenue des Faons [ Uccle ],2,GOODWIN-Tom@SPORTFOREVER.be,1976-12-29,SPORT FOREVER BE 1
RANDALL,Sacha,32,45312427,2013-07-04,Rue du Romarin [ Bruxelles ],3,RANDALL-Sacha@SPORTFOREVER.be,1994-04-03,SPORT FOREVER BE 4
MARTINEZ,Alicia,32,44763107,2016-10-11,Rue Hector Denis [ Ixelles ],3,MARTINEZ-Alicia@SPORTFOREVER.be,1968-01-30,SPORT FOREVER BE 3
ROTH,Joseph,32,78745524,2017-04-25,Rue de Grand-Bigard [ Berchem-Sainte-Agathe ],3,ROTH-Joseph@SPORTFOREVER.be,1989-04-27,SPORT FOREVER BE 5
PRICE,Charlie,32,87478423,2010-03-26,Chaussée d'Alsemberg [ Uccle ],2,PRICE-Charlie@SPORTFOREVER.be,1984-08-22,SPORT FOREVER BE 3
BALDWIN,Mya,32,63882952,2012-06-01,Rue du Prévôt [ Ixelles ],3,BALDWIN-Mya@SPORTFOREVER.be,1979-01-28,SPORT FOREVER BE 4
CAIN,Julia,32,47012106,2012-04-26,Rue de l'Aurore [ Bruxelles ],3,CAIN-Julia@SPORTFOREVER.be,1989-01-04,SPORT FOREVER BE 1
TORRES,Amine,32,74126511,2017-05-23,Avenue Impératrice Charlotte [ Bruxelles ],3,TORRES-Amine@SPORTFOREVER.be,1979-10-29,SPORT FOREVER BE 3
CALDWELL,Louna,32,75658698,2020-10-25,Rue de la Rhétorique [ Saint-Gilles ],2,CALDWELL-Louna@SPORTFOREVER.be,1984-06-26,SPORT FOREVER BE 5
HICKS,Maria,32,70289676,2010-04-17,Avenue des Vaillants [ Woluwe-Saint-Lambert ],2,HICKS-Maria@SPORTFOREVER.be,1968-06-25,SPORT FOREVER BE 2
MUELLER,Maxence,32,91597476,2016-04-20,Rue des Petits Carmes [ Bruxelles ],3,MUELLER-Maxence@SPORTFOREVER.be,1963-11-12,SPORT FOREVER BE 1
BENNETT,Mya,32,63178822,2017-06-21,Grand-Place [ Bruxelles ],3,BENNETT-Mya@SPORTFOREVER.be,1961-11-02,SPORT FOREVER BE 1
FARMER,Charly,32,54908956,2018-09-16,Rue Léopold I [ Bruxelles ],3,FARMER-Charly@SPORTFOREVER.be,1983-02-08,SPORT FOREVER BE 2
GILL,Noa,32,29498590,2018-04-09,Avenue Princesse Elisabeth [ Schaerbeek ],3,GILL-Noa@SPORTFOREVER.be,1994-09-08,SPORT FOREVER BE 2
YORK,Victor,32,8239058,2015-09-27,Avenue Impératrice Charlotte [ Bruxelles ],3,YORK-Victor@SPORTFOREVER.be,1984-12-08,SPORT FOREVER BE 3
LOVE,Jade,32,31199908,2015-04-01,Avenue Van Volxem [ Forest ],3,LOVE-Jade@SPORTFOREVER.be,1977-07-03,SPORT FOREVER BE 4
BRADFORD,Antonin,32,7956895,2020-05-09,Avenue Orban [ Woluwe-Saint-Pierre ],3,BRADFORD-Antonin@SPORTFOREVER.be,1975-02-02,SPORT FOREVER BE 3
MCDONALD,Tom,32,30387772,2020-01-23,Avenue Commandant Lothaire [ Etterbeek ],2,MCDONALD-Tom@SPORTFOREVER.be,1969-11-30,SPORT FOREVER BE 2
CONLEY,Juliette,32,53395039,2020-09-13,Rue Verte [ Schaerbeek ],3,CONLEY-Juliette@SPORTFOREVER.be,1985-11-24,SPORT FOREVER BE 2
LAMB,Manon,32,10373909,2018-01-06,Place du Châtelain [ Ixelles ],3,LAMB-Manon@SPORTFOREVER.be,1968-06-30,SPORT FOREVER BE 3
MCGUIRE,Nathan,32,90056719,2019-06-04,Boulevard Léopold II [ Molenbeek-Saint-Jean ],3,MCGUIRE-Nathan@SPORTFOREVER.be,1992-03-31,SPORT FOREVER BE 1
ROBBINS,Capucine,32,72736323,2014-05-01,Avenue des Ménestrels [ Anderlecht ],3,ROBBINS-Capucine@SPORTFOREVER.be,1962-03-02,SPORT FOREVER BE 4
CUNNINGHAM,Axel,32,42567303,2011-10-07,Rue Grétry [ Bruxelles ],3,CUNNINGHAM-Axel@SPORTFOREVER.be,1974-11-30,SPORT FOREVER BE 4
BOYD,Samuel,32,1857739,2016-03-07,Rue Gérard [ Etterbeek ],3,BOYD-Samuel@SPORTFOREVER.be,1981-03-03,SPORT FOREVER BE 3
BRIDGES,Lyna,32,19525970,2014-08-26,Rue de Roumanie [ Saint-Gilles ],3,BRIDGES-Lyna@SPORTFOREVER.be,1965-11-30,SPORT FOREVER BE 1
ROBERTSON,Gaspard,32,97462400,2011-06-18,Rue Charles Pas [ Auderghem ],3,ROBERTSON-Gaspard@SPORTFOREVER.be,1977-09-21,SPORT FOREVER BE 1
SIMMONS,Lucie,32,8773341,2020-06-27,Rue Théophile De Baisieux [ Bruxelles ],3,SIMMONS-Lucie@SPORTFOREVER.be,1980-08-15,SPORT FOREVER BE 1
MCKENZIE,Léopold,32,69423902,2012-09-02,Avenue Albert Dumont [ Woluwe-Saint-Lambert ],3,MCKENZIE-Léopold@SPORTFOREVER.be,1992-01-11,SPORT FOREVER BE 2
WASHINGTON,Adèle,32,38823609,2015-02-05,Rue Vanderkindere [ Uccle ],3,WASHINGTON-Adèle@SPORTFOREVER.be,1981-05-22,SPORT FOREVER BE 5
MACK,Elio,32,96778136,2019-06-28,Rue Vandeweyer [ Schaerbeek ],3,MACK-Elio@SPORTFOREVER.be,1993-04-18,SPORT FOREVER BE 5
WATKINS,Sacha,32,49184399,2018-10-29,Rue de Monténégro [ Saint-Gilles ],3,WATKINS-Sacha@SPORTFOREVER.be,1975-05-18,SPORT FOREVER BE 3
KRAMER,Mya,32,83223551,2016-07-01,Rue Théodore De Cuyper [ Woluwe-Saint-Lambert ],2,KRAMER-Mya@SPORTFOREVER.be,1960-04-22,SPORT FOREVER BE 3
MCDANIEL,Nathan,32,42780512,2015-02-22,Avenue Colonel Picquart [ Schaerbeek ],3,MCDANIEL-Nathan@SPORTFOREVER.be,1964-03-02,SPORT FOREVER BE 4
LEONARD,Noah,32,36150216,2015-06-12,Rue Médori [ Bruxelles ],3,LEONARD-Noah@SPORTFOREVER.be,1967-04-27,SPORT FOREVER BE 1
PACHECO,Charlie,32,98485011,2020-08-22,Avenue des Ombrages [ Woluwe-Saint-Lambert ],3,PACHECO-Charlie@SPORTFOREVER.be,1991-09-18,SPORT FOREVER BE 5
DAVIS,Mathis,32,76788453,2017-05-04,Rue Pannenhuis [ Jette ],3,DAVIS-Mathis@SPORTFOREVER.be,1989-01-12,SPORT FOREVER BE 4
BUCHANAN,Théo,32,12738177,2012-03-23,Rue des Archers [ Koekelberg ],3,BUCHANAN-Théo@SPORTFOREVER.be,1979-12-08,SPORT FOREVER BE 2
ERICKSON,Valentin,32,15765869,2019-07-26,Avenue Colonel Picquart [ Schaerbeek ],3,ERICKSON-Valentin@SPORTFOREVER.be,1966-02-10,SPORT FOREVER BE 2
BRADFORD,Salomé,32,24025924,2018-10-23,Rue de l'Abdication [ Bruxelles ],3,BRADFORD-Salomé@SPORTFOREVER.be,1992-02-25,SPORT FOREVER BE 3
QUINN,Hugo,32,1620014,2018-05-23,Avenue du Diamant [ Schaerbeek ],3,QUINN-Hugo@SPORTFOREVER.be,1993-03-16,SPORT FOREVER BE 5
KELLY,Lou,32,23017281,2014-09-01,Rue Van Kalck [ Molenbeek-Saint-Jean ],3,KELLY-Lou@SPORTFOREVER.be,1994-03-12,SPORT FOREVER BE 5
LEON,Louna,32,51811412,2010-05-19,Rue du Luxembourg [ Bruxelles ],3,LEON-Louna@SPORTFOREVER.be,1955-11-25,SPORT FOREVER BE 2
MORAN,Juliette,32,57802578,2015-05-22,Chaussée de Haecht [ Evere ],3,MORAN-Juliette@SPORTFOREVER.be,1979-07-10,SPORT FOREVER BE 4
RIVAS,Jade,32,39060145,2011-10-28,Rue de Neerpede [ Anderlecht ],3,RIVAS-Jade@SPORTFOREVER.be,1990-01-30,SPORT FOREVER BE 1
PAYNE,Naël,32,9839846,2010-07-31,Rue des Archers [ Koekelberg ],3,PAYNE-Naël@SPORTFOREVER.be,1954-02-25,SPORT FOREVER BE 2
SALAZAR,Jules,32,19439229,2020-05-07,Rue Théophile De Baisieux [ Bruxelles ],3,SALAZAR-Jules@SPORTFOREVER.be,2000-09-14,SPORT FOREVER BE 1
LI,Alix,32,63988858,2016-01-26,Rue de Theux [ Ixelles ],3,LI-Alix@SPORTFOREVER.be,1988-01-13,SPORT FOREVER BE 1
BOWMAN,Céleste,32,48443641,2011-05-13,Rue Stéphanie [ Bruxelles ],3,BOWMAN-Céleste@SPORTFOREVER.be,1957-03-14,SPORT FOREVER BE 5
SALAZAR,Hugo,32,55881288,2018-02-13,Avenue Gustave Latinis [ Schaerbeek ],3,SALAZAR-Hugo@SPORTFOREVER.be,1978-12-27,SPORT FOREVER BE 2
CARROLL,Gabriel,32,67255192,2019-10-07,Rue de l'Abdication [ Bruxelles ],3,CARROLL-Gabriel@SPORTFOREVER.be,1966-07-26,SPORT FOREVER BE 1
HUNT,Elio,32,67171499,2014-06-16,Rue Charles Martel [ Bruxelles ],2,HUNT-Elio@SPORTFOREVER.be,1969-08-29,SPORT FOREVER BE 2
ROSS,Baptiste,32,979315,2016-07-01,Boulevard d'Ypres [ Bruxelles ],3,ROSS-Baptiste@SPORTFOREVER.be,1964-04-26,SPORT FOREVER BE 1
TRAN,Apolline,32,89281122,2011-07-19,Rue Théophile De Baisieux [ Bruxelles ],3,TRAN-Apolline@SPORTFOREVER.be,1977-07-26,SPORT FOREVER BE 1
HENRY,Ethan,32,6911671,2017-11-01,Avenue des Ménestrels [ Anderlecht ],3,HENRY-Ethan@SPORTFOREVER.be,1981-07-24,SPORT FOREVER BE 5
PACHECO,Charlotte,32,651328,2014-03-11,Rue du Melkriek [ Uccle ],3,PACHECO-Charlotte@SPORTFOREVER.be,1987-05-10,SPORT FOREVER BE 2
CAIN,Louisa,32,72210566,2017-06-03,Avenue Eugène Demolder [ Schaerbeek ],3,CAIN-Louisa@SPORTFOREVER.be,1974-02-06,SPORT FOREVER BE 4
MONTOYA,Côme,32,79250677,2017-07-21,Chaussée de Wavre [ Etterbeek ],3,MONTOYA-Côme@SPORTFOREVER.be,1961-10-31,SPORT FOREVER BE 2
MALONE,Kenzo,32,62308373,2020-08-06,Rue de la Rhétorique [ Saint-Gilles ],3,MALONE-Kenzo@SPORTFOREVER.be,1994-03-13,SPORT FOREVER BE 5
SHELTON,Capucine,32,59353192,2011-09-09,Rue des Touristes [ Watermael-Boitsfort ],2,SHELTON-Capucine@SPORTFOREVER.be,1973-01-16,SPORT FOREVER BE 3
CERVANTES,Jade,32,45360397,2011-10-10,Rue Théophile De Baisieux [ Bruxelles ],3,CERVANTES-Jade@SPORTFOREVER.be,1970-08-30,SPORT FOREVER BE 1
SKINNER,Manon,32,2992139,2015-07-28,Rue de Linthout [ Schaerbeek ],3,SKINNER-Manon@SPORTFOREVER.be,1967-05-04,SPORT FOREVER BE 2
GUERRERO,Marius,32,51007110,2011-04-10,Drève d'Anjou [ Forest ],2,GUERRERO-Marius@SPORTFOREVER.be,1955-01-21,SPORT FOREVER BE 3
ROBINSON,Enzo,32,76280561,2016-07-01,Avenue Pré des Agneaux [ Auderghem ],3,ROBINSON-Enzo@SPORTFOREVER.be,1997-03-26,SPORT FOREVER BE 1
COLLIER,Augustin,32,28895739,2015-06-13,Rue de la Reinette [ Bruxelles ],3,COLLIER-Augustin@SPORTFOREVER.be,1986-01-26,SPORT FOREVER BE 2
BUTLER,Adèle,32,16211826,2016-06-22,Avenue du Cimetière de Bruxelles [ Evere ],3,BUTLER-Adèle@SPORTFOREVER.be,1979-06-08,SPORT FOREVER BE 3
DRAKE,Rose,32,86690152,2014-12-29,Place des Héros [ Saint-Gilles ],3,DRAKE-Rose@SPORTFOREVER.be,1988-12-18,SPORT FOREVER BE 2
FIELDS,Nina,32,10366618,2016-06-20,Chaussée de Stockel [ Woluwe-Saint-Lambert ],2,FIELDS-Nina@SPORTFOREVER.be,1968-07-07,SPORT FOREVER BE 3
WILLIAMS,Louise,32,77259430,2011-05-14,Drève d'Anjou [ Forest ],3,WILLIAMS-Louise@SPORTFOREVER.be,1975-09-26,SPORT FOREVER BE 2
STONE,Sarah,32,33349784,2014-03-15,Avenue Van Volxem [ Forest ],3,STONE-Sarah@SPORTFOREVER.be,1961-05-01,SPORT FOREVER BE 3
SCHNEIDER,Liam,32,6349223,2020-07-07,Rue des Palais Outre-Ponts [ Bruxelles ],3,SCHNEIDER-Liam@SPORTFOREVER.be,1964-11-22,SPORT FOREVER BE 5
ROSS,Lucien,32,8821987,2012-05-18,Rue Camille Simoens [ Schaerbeek ],3,ROSS-Lucien@SPORTFOREVER.be,1972-12-15,SPORT FOREVER BE 1
CLARKE,Justine,32,72620117,2011-08-07,Rue de la Seigneurie [ Bruxelles ],3,CLARKE-Justine@SPORTFOREVER.be,1980-01-15,SPORT FOREVER BE 1
GARRETT,Justine,32,71912167,2018-04-14,Rue Médori [ Bruxelles ],3,GARRETT-Justine@SPORTFOREVER.be,1994-01-01,SPORT FOREVER BE 2
TERRY,Amine,32,62965051,2012-09-27,Rue de l'Expansion [ Anderlecht ],3,TERRY-Amine@SPORTFOREVER.be,1991-07-03,SPORT FOREVER BE 1
MILLER,Maël,32,37342321,2017-06-06,Rue de la Sécurité [ Koekelberg ],2,MILLER-Maël@SPORTFOREVER.be,1996-03-04,SPORT FOREVER BE 2
BLAIR,Liam,32,72357616,2014-05-17,Rue Linné [ Saint-Josse-ten-Noode ],3,BLAIR-Liam@SPORTFOREVER.be,1982-06-30,SPORT FOREVER BE 5
JENSEN,Simon,32,29865688,2010-10-15,Rue de la Victoire [ Saint-Gilles ],3,JENSEN-Simon@SPORTFOREVER.be,1984-04-25,SPORT FOREVER BE 2
HOPKINS,Julia,32,34980634,2015-12-27,Rue du Viaduc [ Ixelles ],3,HOPKINS-Julia@SPORTFOREVER.be,1971-10-26,SPORT FOREVER BE 2
MCGEE,Louis,32,95941456,2011-03-23,Rue Blaes [ Bruxelles ],3,MCGEE-Louis@SPORTFOREVER.be,1955-06-25,SPORT FOREVER BE 2
HILL,Théa,32,9503776,2016-07-23,Clos des Fuchsias [ Forest ],3,HILL-Théa@SPORTFOREVER.be,1977-12-07,SPORT FOREVER BE 5
PERRY,Arthur,32,79550222,2011-08-29,Rue Edouard Fiers [ Schaerbeek ],3,PERRY-Arthur@SPORTFOREVER.be,1983-05-17,SPORT FOREVER BE 2
MASSEY,Lyam,32,98216527,2013-03-31,Avenue Eugène Demolder [ Schaerbeek ],3,MASSEY-Lyam@SPORTFOREVER.be,1988-03-18,SPORT FOREVER BE 5
STEWART,Marie,32,86689481,2015-02-21,Avenue Albert Dumont [ Woluwe-Saint-Lambert ],3,STEWART-Marie@SPORTFOREVER.be,1975-10-11,SPORT FOREVER BE 5
HUDSON,Charlotte,32,49900684,2018-03-17,Avenue Orban [ Woluwe-Saint-Pierre ],3,HUDSON-Charlotte@SPORTFOREVER.be,1968-01-21,SPORT FOREVER BE 5
LEON,Alexandre,32,3480499,2014-01-15,Rue de l'Expansion [ Anderlecht ],3,LEON-Alexandre@SPORTFOREVER.be,1995-03-09,SPORT FOREVER BE 4
FOWLER,Lisa,32,30527067,2016-01-30,Rue Théophile De Baisieux [ Bruxelles ],3,FOWLER-Lisa@SPORTFOREVER.be,1989-07-21,SPORT FOREVER BE 2
BROWN,Lou,32,30626356,2019-12-27,Rue de Linthout [ Schaerbeek ],3,BROWN-Lou@SPORTFOREVER.be,1989-05-25,SPORT FOREVER BE 1
WALL,Eva,32,62496475,2020-03-19,Rue Charles Pas [ Auderghem ],3,WALL-Eva@SPORTFOREVER.be,1971-10-02,SPORT FOREVER BE 4
SANDOVAL,Robin,32,48749944,2018-07-08,Rue Tazieaux [ Molenbeek-Saint-Jean ],3,SANDOVAL-Robin@SPORTFOREVER.be,1975-11-22,SPORT FOREVER BE 4
SUTTON,Ezio,32,70868688,2011-07-19,Rue Verte [ Schaerbeek ],3,SUTTON-Ezio@SPORTFOREVER.be,1963-02-16,SPORT FOREVER BE 1
PRATT,Mathéo,32,29265000,2019-04-18,Rue Berckmans [ Saint-Gilles ],3,PRATT-Mathéo@SPORTFOREVER.be,1963-12-07,SPORT FOREVER BE 1
WILLIS,Charles,32,45146594,2019-06-24,Rue Pannenhuis [ Jette ],3,WILLIS-Charles@SPORTFOREVER.be,1997-12-05,SPORT FOREVER BE 3
HARRINGTON,Agathe,32,91976262,2016-05-31,Rue de l'Aurore [ Bruxelles ],3,HARRINGTON-Agathe@SPORTFOREVER.be,1975-12-16,SPORT FOREVER BE 5
OLIVER,Victor,32,57731202,2011-03-01,Avenue Albert Dumont [ Woluwe-Saint-Lambert ],2,OLIVER-Victor@SPORTFOREVER.be,1967-10-04,SPORT FOREVER BE 4
ARNOLD,Manon,32,56350190,2013-02-23,Rue Stéphanie [ Bruxelles ],3,ARNOLD-Manon@SPORTFOREVER.be,1978-06-10,SPORT FOREVER BE 1
SULLIVAN,Noah,32,92983073,2018-02-10,Chaussée de Bruxelles [ Forest ],3,SULLIVAN-Noah@SPORTFOREVER.be,1994-12-03,SPORT FOREVER BE 5
SUTTON,Lina,32,58757350,2017-01-12,Rue Vanderkindere [ Uccle ],3,SUTTON-Lina@SPORTFOREVER.be,1985-02-16,SPORT FOREVER BE 3
THOMAS,Hugo,32,58559900,2014-03-20,Boulevard d'Ypres [ Bruxelles ],3,THOMAS-Hugo@SPORTFOREVER.be,1980-09-08,SPORT FOREVER BE 4
THOMAS,Emma,32,74229716,2019-10-22,Rue du Coq [ Uccle ],3,THOMAS-Emma@SPORTFOREVER.be,2002-02-22,SPORT FOREVER BE 5
HAYNES,Noah,32,95862076,2015-01-01,Avenue du Centaure [ Woluwe-Saint-Lambert ],2,HAYNES-Noah@SPORTFOREVER.be,1990-09-10,SPORT FOREVER BE 4
ALLISON,Nolan,32,95146053,2020-09-05,Avenue Prekelinden [ Woluwe-Saint-Lambert ],3,ALLISON-Nolan@SPORTFOREVER.be,1996-06-25,SPORT FOREVER BE 4
COLEMAN,Elias,32,36914821,2014-10-25,Avenue Albert Dumont [ Woluwe-Saint-Lambert ],3,COLEMAN-Elias@SPORTFOREVER.be,1978-01-30,SPORT FOREVER BE 1
OSBORNE,Lucie,32,59500039,2015-09-30,Boulevard d'Ypres [ Bruxelles ],3,OSBORNE-Lucie@SPORTFOREVER.be,1968-01-02,SPORT FOREVER BE 5
ARMSTRONG,Yanis,32,12688854,2011-04-03,Rue Charles Degroux [ Etterbeek ],2,ARMSTRONG-Yanis@SPORTFOREVER.be,1988-01-01,SPORT FOREVER BE 4
SCHMIDT,Noah,32,42788287,2010-10-01,Rue de l'Emancipation [ Anderlecht ],3,SCHMIDT-Noah@SPORTFOREVER.be,1986-11-05,SPORT FOREVER BE 3
COLE,Louna,32,52925295,2012-02-17,Rue Rittweger [ Uccle ],3,COLE-Louna@SPORTFOREVER.be,1986-06-15,SPORT FOREVER BE 1
HUGHES,Olivia,32,79081214,2016-12-27,Avenue Gustave Latinis [ Schaerbeek ],3,HUGHES-Olivia@SPORTFOREVER.be,1960-06-26,SPORT FOREVER BE 5
FUENTES,Célia,32,75060350,2019-09-14,Rue de l'Expansion [ Anderlecht ],3,FUENTES-Célia@SPORTFOREVER.be,1998-04-29,SPORT FOREVER BE 1
